PRESIDENTA/E_Y_VICEPRESIDENTA/E__BOLIVAR__H,81834,67708,14144,2618,6426,1098,6769,27476,1274,14582,5579,1122,744
PRESIDENTA/E_Y_VICEPRESIDENTA/E__BOLIVAR__M,83547,71216,12334,3469,8275,1144,10379,24773,1465,15032,4994,960,697
PRESIDENTA/E_Y_VICEPRESIDENTA/E__MANABI__H,607420,517173,90498,27995,45642,30742,42006,89528,21361,232743,21056,2946,2952
PRESIDENTA/E_Y_VICEPRESIDENTA/E__MANABI__M,585582,511710,73872,21458,46411,36834,49118,71264,19112,246207,17052,2206,1926
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ORELLANA__H,59159,49746,9413,1381,3954,1100,2955,18001,623,15459,5395,633,222
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ORELLANA__M,49783,44233,5550,1439,4444,1035,3899,13268,573,14334,4554,513,160
PRESIDENTA/E_Y_VICEPRESIDENTA/E__CHIMBORAZO__H,197835,155580,42433,4263,11663,2476,13804,61603,3786,39128,12822,1643,4330
PRESIDENTA/E_Y_VICEPRESIDENTA/E__CHIMBORAZO__M,211752,174734,37040,8152,18158,3038,23020,59653,4201,40475,12061,1784,4115
PRESIDENTA/E_Y_VICEPRESIDENTA/E__GUAYAS__H,1525887,1250846,280455,35731,78945,80480,263287,256049,32342,463326,26487,7904,5898
PRESIDENTA/E_Y_VICEPRESIDENTA/E__GUAYAS__M,1547384,1299110,248626,27902,91714,107316,341320,233487,30930,434033,21485,6173,4277
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ZAMORA_CHINCHIPE__H,41823,32744,9079,732,1349,322,2892,14945,355,9035,2746,200,148
PRESIDENTA/E_Y_VICEPRESIDENTA/E__ZAMORA_CHINCHIPE__M,37625,31462,6163,669,1512,282,4187,12871,334,8750,2581,163,97
PRESIDENTA/E_Y_VICEPRESIDENTA/E__PICHINCHA__H,1102801,904974,198972,9425,42015,12816,91278,284523,31582,319868,96937,5859,10051
PRESIDENTA/E_Y_VICEPRESIDENTA/E__PICHINCHA__M,1151769,973768,178035,10307,47077,15177,130566,285004,35036,339611,96478,4934,9012
PRESIDENTA/E_Y_VICEPRESIDENTA/E__COTOPAXI__H,172098,147192,25178,4321,11899,2341,10654,45604,3930,39507,25846,1554,1477
PRESIDENTA/E_Y_VICEPRESIDENTA/E__COTOPAXI__M,180900,160913,20167,6744,16049,2668,16637,42105,4236,42645,26575,1507,1530
PRESIDENTA/E_Y_VICEPRESIDENTA/E__EUROPA_ASIA_Y_OCEANIA__H,104612,33761,60912,1313,3116,1796,5633,4280,729,13405,2818,324,317
