provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,18,ALARCON_COSTTA_CESAR_AUGUSTO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,283,ROLDOS_AGUILERA_LEON,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,23,VARGAS_GUATATUCA_CARLOS_ANTONIO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,653,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,22,JUEZ_ABUCHAKRA_IVONNE_LEYLA,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,145,VELAZQUEZ_HERRERA_JACINTO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,89,NEIRA_MENENDEZ_ANTONIO_XAVIER,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,30,HURTADO_LARREA_OSVALDO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,168,BUCARAM_ORTIZ_JACOBO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,999,BORJA_CEVALLOS_RODRIGO,,,RURAL
AZUAY,CUENCA,BANOS,hombres,6050,30,131,243,255,NOBOA_PONTON_ALVARO_FERNANDO,,,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,31,204,381,111,NEIRA_MENENDEZ_ANTONIO_XAVIER,,,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,31,204,381,19,HURTADO_LARREA_OSVALDO,,,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,31,204,381,637,GUTIERREZ_BORBUA_LUCIO_EDWIN,,electos,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,31,204,381,115,VELAZQUEZ_HERRERA_JACINTO,,,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,31,204,381,31,ALARCON_COSTTA_CESAR_AUGUSTO,,,RURAL
AZUAY,CUENCA,BANOS,mujeres,6123,31,204,381,18,VARGAS_GUATATUCA_CARLOS_ANTONIO,,,RURAL
