provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,BANOS,hombres,7302,25,34,406,2773,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,BANOS,hombres,7302,25,34,406,1018,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,82,567,3659,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,BANOS,mujeres,7394,25,82,567,991,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,20,119,319,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2346,8,20,119,761,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,49,214,1218,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CUMBE,mujeres,2595,9,49,214,392,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,5,53,59,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,hombres,511,3,5,53,236,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,mujeres,505,3,18,64,252,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CHAUCHA/ANGAS,mujeres,505,3,18,64,48,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,1856,7,13,62,98,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,1856,7,13,62,333,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,1803,6,35,141,587,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,1803,6,35,141,109,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2082,7,9,65,584,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2082,7,9,65,190,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2149,7,18,145,208,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2149,7,18,145,888,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,LLACAO,hombres,1291,5,5,83,199,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1291,5,5,83,578,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,LLACAO,mujeres,1407,5,17,119,714,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,LLACAO,mujeres,1407,5,17,119,183,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,MOLLETURO,hombres,2117,9,36,182,863,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,MOLLETURO,hombres,2117,9,36,182,282,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,MOLLETURO,mujeres,1870,9,46,287,228,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,MOLLETURO,mujeres,1870,9,46,287,969,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,MULTI_/_NULTI,hombres,1445,5,9,83,633,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,MULTI_/_NULTI,hombres,1445,5,9,83,262,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,MULTI_/_NULTI,mujeres,1572,6,16,158,243,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,MULTI_/_NULTI,mujeres,1572,6,16,158,789,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,OCTAVIO_CORDERO_PALACIOS,hombres,1445,5,9,70,96,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,OCTAVIO_CORDERO_PALACIOS,hombres,1445,5,9,70,256,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,OCTAVIO_CORDERO_PALACIOS,mujeres,1487,5,20,124,451,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
AZUAY,CUENCA,OCTAVIO_CORDERO_PALACIOS,mujeres,1487,5,20,124,115,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,PACCHA,hombres,1576,6,10,88,655,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS/PS-FA,electos,RURAL
