provincia_nombre,canton_nombre,parroquia_nombre,sexo,electores,numero_de_actas,votos_en_blanco,votos_nulos,candidato_votos,candidato_nombre,op_siglas,candidato_estado,parroquia_estado
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,3963,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,253,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,185,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,40,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,389,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,134,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,278,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,BAÑOS,hombres,9915,33,96,380,1098,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,973,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,291,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,178,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,52,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,405,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,4929,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,164,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,BAÑOS,mujeres,10155,34,133,566,300,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,182,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,286,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,25,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,852,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,47,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,72,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,18,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CUMBE,hombres,2809,10,42,114,87,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,29,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,330,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,1221,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,110,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,59,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,17,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,263,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CUMBE,mujeres,3086,11,74,213,66,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,7,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,261,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,3,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,5,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,3,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,1,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,42,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,hombres,620,4,19,59,37,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,7,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,286,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,3,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,22,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,3,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,6,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,1,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CHAUCHA_/_ANGAS,mujeres,574,4,37,59,20,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,20,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,5,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,94,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,16,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,44,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,100,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,11,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,hombres,2084,7,17,48,451,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,20,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,45,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,7,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,25,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,100,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,633,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,124,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CHECA_JIDCAY,mujeres,2013,7,37,82,6,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,9,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,47,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,153,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,17,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,758,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,112,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,37,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CHIQUINTAD,hombres,2411,8,22,77,46,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,52,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,4,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,155,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,905,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,21,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,186,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,43,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,CHIQUINTAD,mujeres,2480,9,40,153,61,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,41,ACOSTA_ESPINOSA_ALBERTO_JOSE,MPD/MUPP,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,191,LASSO_MENDOZA_GUILLERMO_ALBERTO_SANTIAGO,CREO,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,45,NOBOA_PONTON_ALVARO_FERNANDO,PRIAN,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,8,ZAVALA_AVELLAN_NELSON_MARTIN,PRE,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,41,RODAS_ESPINEL_MAURICIO_ESTEBAN,SUMA,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,110,GUTIERREZ_BORBUA_LUCIO_EDWIN,PSP,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,25,WRAY_REYES_NORMAN_STEF,RUPTURA,,RURAL
AZUAY,CUENCA,LLACAO,hombres,1654,6,16,54,695,CORREA_DELGADO_RAFAEL_VICENTE,MPAIS,electos,RURAL
